artikelnummer,ean,naam,raw_ingredient_preferred
150002,8713507042436,Rode Linzen 500gr stuk,Red lentils
161341,8713507203882,Komkommer brunoise 10mm 1kg kist 6 stuks,
161263,8713507200393,Komkommer brunoise 20mm 1kg kist 6 stuks,
161341,8713507203875,Komkommer brunoise 10mm 1kg stuk,
161263,8713507200386,Komkommer brunoise 20mm 1kg stuk,
161874,8713507273175,Gekruide komkommer-tom brunoise 20mm 3kg stuk,Medi salad 3kg
161874,8713507273182,Gekruide komkommer-tom brunoise 20mm 3kg kist 2 stuks,
150015,8713507239300,Kikkererwten kist 10 kilogram,Chickpeas
161273,8713507200638,Bleekselderij brunoise 10 mm zak 1kg stuk,Celery brunoise
115962,8713507159356,Knoflook gepeld-schoon 1kg stuk,Garlic peeled
193008,8713507047714,Knoflook puree 1kg stuk,Garlic puree
166195,8713507182545,Granaatappelpitten los 1kg stuk,Pomegranate seeds
115167,8713507164541,Aubergine stuk,
115167,8713507227734,Aubergine kist 14 stuks,Aubergine
100194,8713507008203,Pepers groen kist 3 kilogram,
100194,8713507008203,Pepers groen kist 3 kilogram,Green chili
118384,8713507283716,Rawit groen 100gr stuk,
118385,8713507179392,Rawit groen doos 2kg stuk,
100874,8713507023046,Mint 75-80gr stuk,Mint
161123,8713507257069,Winterpeen julienne 1mm 1kg stuk,Carrot julienne
150009,8713507268133,Groene linzen los kist 10 kilogram,Green lentils
100180,8713507007633,Komkommers kist 30 stuks,
110182,8713507230321,Komkommers kist 12 stuks,Cucumber
100180,8713507007664,Komkommers stuk,
142088,8713507265965,Bladpeterselie los 4kg kist 4 kilogram,
142077,8713507199536,Bladpeterselie los kist 1 kilogram,Parsley
142063,8713507199505,Koriander los kist 1 kilogram,Coriander (fresh)
161329,8713507203646,Rode kool 1x gesneden 2.5kg kist 2 stuks,Red cabbage shredded
161874,8713507273182,Gekruide komkommer-tom brunoise 20mm 3kg kist 2 stuks,Medi salad 3kg kist
161329,8713507203639,Rode kool 1x gesneden 2.5kg stuk,
161467,8713507265118,Rode kool 1x gesneden zak 1kg stuk,
106649,8713507249699,Rode uien ringen fijn 2mm 1kg kist 12 stuks,Red onion sliced fine
106649,8713507249705,Rode uien ringen fijn 2mm 1kg stuk,
156007,8713507271379,Cacaopoeder BIO emmer 3.5kg kist 2 stuks,Cacao powder
153020,8713507273304,Gebroken lijnzaad 850gr kist 8 stuks,Flaxseed broken
161452,8713507206142,Tomaten brunoise 20mm 1kg kist 6 stuks,
161452,8713507206111,Tomaten brunoise 20mm 1kg stuk,
161452,8713507206142,Tomaten brunoise 20mm 1kg kist 6 stuks,Tomato
100209,8713507008630,Tomaten A kist 6 kilogram,
106643,8713507249514,Uien heel schoon zak 1kg stuk,
106638,8713507232660,Uien heel schoon 5 kg stuk,Onion peeled
100081,8713507002904,Romeinse sla stuk,
100081,8713507002898,Romeinse sla kist 8 stuks,Romaine lettuce
